Source,Section,Title,Date,URL
newindianexpress.com,cities,"Food safety officials seize 1,000 kg banned plastic from Chennai's Hotel Saravana Bhavan",30-01-2019,http://www.newindianexpress.com/cities/chennai/2019/jan/30/food-safety-officials-seize-1000-kg-banned-plastic-from-chennais-hotel-saravana-bhavan-1931976.html
indiatimes.com,city,Mumbai: Spurious paneer made using sulphuric acid seized from Vasai,31-01-2019,https://timesofindia.indiatimes.com/city/mumbai/mumbai-spurious-paneer-made-using-sulphuric-acid-seized-from-vasai/articleshow/67779577.cms
thehindu.com,cities,Banned tobacco products worth ₹10 lakh to be burnt,07-02-2019,https://www.thehindu.com/news/cities/Tiruchirapalli/banned-tobacco-products-worth-10-lakh-to-be-burnt/article26204926.ece
newindianexpress.com,states,Craving cake? Your local bakery may serve you a side of drug-resistant bacteria,09-02-2019,http://www.newindianexpress.com/states/telangana/2019/feb/09/craving-cake-your-local-bakery-may-serve-you-a-side-of-drug-resistant-bacteria-1936545.html
indiatimes.com,city,Two held for smuggling liquor worth Rs 50 lakh to Agra,10-02-2019,https://timesofindia.indiatimes.com/city/ghaziabad/two-held-for-smuggling-liquor-worth-rs-50-lakh-to-agra/articleshow/67921752.cms
indiatimes.com,city,Over 5 tonne tobacco products destroyed,12-02-2019,https://timesofindia.indiatimes.com/city/trichy/over-5-tonne-tobacco-products-destroyed/articleshow/67949901.cms
thehindu.com,cities,Roadside eateries under the scanner,15-02-2019,https://www.thehindu.com/news/cities/kozhikode/roadside-eateries-under-the-scanner/article26273908.ece
hindustantimes.com,more-lifestyle,"Flies and fungi: Climate change could make food less safe, experts warn",15-02-2019,https://www.hindustantimes.com/more-lifestyle/flies-and-fungi-climate-change-could-make-food-less-safe-experts-warn/story-u1kJkl0tWTjm7oIAdjKSIP.html
newindianexpress.com,cities,Crackdown on stale food,16-02-2019,http://www.newindianexpress.com/cities/thiruvananthapuram/2019/feb/16/crackdown-on-stale-food-1939337.html
thehindu.com,national,Are women in Karnataka consuming an excessive amount of iron?,21-02-2019,https://www.thehindu.com/news/national/karnataka/are-women-in-karnataka-consuming-an-excessive-amount-of-iron/article26327738.ece
indiatimes.com,city,"Officials seize 23,000kg inferior quality pickles",21-02-2019,https://timesofindia.indiatimes.com/city/jaipur/23000kg-inferior-quality-pickles-to-be-destroyed/articleshow/68087246.cms
indianexpress.com,north-east-india,"Assam hooch toll up to 114, deaths across villages in two districts",24-02-2019,https://indianexpress.com/article/north-east-india/assam/assam-hooch-toll-up-to-114-deaths-across-villages-in-two-districts-5598295/
hindustantimes.com,jaipur,Fewer checks for adulteration in Rajasthan raise food safety concerns,05-03-2019,https://www.hindustantimes.com/jaipur/fewer-checks-for-adulteration-in-rajasthan-raise-food-safety-concerns/story-9LOAMNqbpoFOPHVJG913QI.html
indiatimes.com,city,Illegal liquor factory busted in Thoubal,06-03-2019,https://timesofindia.indiatimes.com/city/imphal/illegal-liquor-factory-busted-in-thoubal/articleshow/68279537.cms
indiatimes.com,city,"Health department raids: Unsafe food colours, impurities found",11-03-2019,https://timesofindia.indiatimes.com/city/jaipur/health-dept-raids-unsafe-food-colours-impurities-found/articleshow/68349516.cms
thehindu.com,cities,Coliform detected in water cans,12-03-2019,https://www.thehindu.com/news/cities/Thiruvananthapuram/coliform-detected-in-water-cans/article26503345.ece
indiatimes.com,city,"Illicit liquor worth Rs 28 lakh seized, 2 held in Ghaziabad",13-03-2019,https://timesofindia.indiatimes.com/city/ghaziabad/illicit-liquor-worth-rs-28-lakh-seized-2-held/articleshow/68385680.cms
indiatimes.com,city,Panipuri is trending. But is it safe?,13-03-2019,https://timesofindia.indiatimes.com/city/kochi/panipuri-is-trending-but-is-it-safe/articleshow/68392312.cms
indiatimes.com,city,Banned gutka worth Rs 3 lakh seized in Erode district,12-03-2019,https://timesofindia.indiatimes.com/city/erode/banned-gutka-worth-rs-3l-seized-in-erode-district/articleshow/68349589.cms
indiatimes.com,city,"Kozhikode: Corporation health officials seize 200 kg of rotten chicken, chicken parts",13-03-2019,https://timesofindia.indiatimes.com/city/kozhikode/kozhikode-corporation-health-officials-seized-200-kg-of-rotten-chicken-and-chicken-parts/articleshow/68395410.cms
indianexpress.com,india,Central Railway to start checking over 200 stalls in Mumbai division,27-03-2019,https://indianexpress.com/article/india/central-railway-to-start-checking-over-200-stalls-in-mumbai-division-5644355/
thehindu.com,cities,‘Keep body hydrated in summer’,05-04-2019,https://www.thehindu.com/news/cities/Coimbatore/keep-body-hydrated-in-summer/article26742319.ece
newindianexpress.com,states,Jaundice cases on the rise in Sambalpur,07-04-2019,http://www.newindianexpress.com/states/odisha/2019/apr/07/jaundice-cases-on-the-rise-in-sambalpur-1961315.html
thehindu.com,cities,"Cool is refreshing, but hygiene matters",09-04-2019,https://www.thehindu.com/news/cities/Tiruchirapalli/cool-is-refreshing-but-hygiene-matters/article26783265.ece
indiatimes.com,city,Election flying squad in Trichy seizes gutkha worth Rs 7.5 lakh,12-04-2019,https://timesofindia.indiatimes.com/city/trichy/election-flying-squad-in-trichy-seizes-gutkha-worth-rs-7-5-lakh/articleshow/68850690.cms
indiatimes.com,city,Trichy: Rs 7.5 lakh worth gutka products seized from truck,13-04-2019,https://timesofindia.indiatimes.com/city/trichy/rs-7-5l-worth-gutka-products-seized-from-truck/articleshow/68857723.cms
indianexpress.com,india,Fish laced with chemicals in Kerala markets: State food department issues warning to consumers,25-04-2019,https://indianexpress.com/article/india/kerala-fish-market-ammonia-laced-fish-market-food-safety-depatment-kerala-5694668/
indiatimes.com,city,80 fall ill in Dahod after eating food at a wedding,28-04-2019,https://timesofindia.indiatimes.com/city/vadodara/80-fall-ill-in-dahod-after-eating-food-at-a-wedding/articleshow/69076770.cms
thehindu.com,cities,Corpn. chooses KMRL to prepare DPR for Calicut Mobility Hub,30-04-2019,https://www.thehindu.com/news/cities/kozhikode/corpn-chooses-kmrl-to-prepare-dpr-for-calicut-mobility-hub/article26985211.ece
thehindu.com,national,Vigilance sleuths bust Gutkha manufacturing unit,30-04-2019,https://www.thehindu.com/news/national/andhra-pradesh/vigilance-sleuths-bust-gutkha-manufacturing-unit/article26996455.ece
hindustantimes.com,lok-sabha-elections,Lok Sabha Election 2019: ‘My opponents even sought help from Pak to get me removed’,01-05-2019,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-election-2019-my-opponents-even-sought-help-from-pak-to-get-me-removed/story-XhRCyX7aHIbBokGJq18abJ.html
thehindu.com,cities,1.5 tonnes of chemically ripened mangoes seized,02-05-2019,https://www.thehindu.com/news/cities/Madurai/15-tonnes-of-chemically-ripened-mangoes-seized/article27014004.ece
thehindu.com,cities,Police bust spurious toddy racket in Goregaon; 3 held,03-05-2019,https://www.thehindu.com/news/cities/mumbai/police-bust-spurious-toddy-racket-in-goregaon-3-held/article27017373.ece
hindustantimes.com,mumbai-news,"‘High traces of lead, mercury in buffalo milk’: Study",03-05-2019,https://www.hindustantimes.com/mumbai-news/high-traces-of-lead-mercury-in-buffalo-milk-study/story-dINPUK4xHwGpUVRJdcSDxN.html
indiatimes.com,city,"Why butchers in Delhi, Hyderabad have high rate of infection",05-05-2019,https://timesofindia.indiatimes.com/city/hyderabad/why-butchers-in-delhi-hyderabad-have-high-rate-of-infection/articleshow/69180641.cms
thehindu.com,cities,New norms on food packaging to come into effect from July,05-05-2019,https://www.thehindu.com/news/cities/Coimbatore/new-norms-on-food-packaging-to-come-into-effect-from-july/article27041285.ece
newindianexpress.com,cities,"Rave party: 200 arrested in Noida, alcohol, other intoxicants seized",06-05-2019,http://www.newindianexpress.com/cities/delhi/2019/may/06/rave-party-200-arrested-in-noida-alcohol-other-intoxicants-seized-1973207.html
newindianexpress.com,cities,"Allegations are baseless, say fruit merchants",07-05-2019,http://www.newindianexpress.com/cities/kochi/2019/may/07/allegations-are-baseless-say-fruit-merchants-1973455.html
thehindu.com,national,Cannabinoid-laced toddy triggers concern,07-05-2019,https://www.thehindu.com/news/national/kerala/cannabinoid-laced-toddy-triggers-concern/article27061689.ece
thehindu.com,cities,Warning issued against selling artificially ripened mangoes,08-05-2019,https://www.thehindu.com/news/cities/Coimbatore/warning-issued-against-selling-artificially-ripened-mangoes/article27073133.ece
thehindu.com,cities,Crackdown on packaged drinking water units,09-05-2019,https://www.thehindu.com/news/cities/chennai/crackdown-on-packaged-drinking-water-units/article27073733.ece
newindianexpress.com,cities,Crackdown launched on unsafe water cans in Chennai,09-05-2019,http://www.newindianexpress.com/cities/chennai/2019/may/09/crackdown-launched-on-unsafe-water-cans-in-chennai-1974428.html
thehindu.com,cities,Food business operators warned against wrapping food items in newspaper,12-05-2019,https://www.thehindu.com/news/cities/Coimbatore/food-business-operators-warned-against-wrapping-food-items-in-newspaper/article27109980.ece
thehindu.com,cities,Artificially ripened fruits find place on racks despite crackdown,15-05-2019,https://www.thehindu.com/news/cities/Coimbatore/artificially-ripened-fruits-find-place-on-racks-despite-crackdown/article27131472.ece
thehindu.com,cities,Over 800 bubble tops seized after raids,16-05-2019,https://www.thehindu.com/news/cities/chennai/over-800-bubble-tops-seized-after-raids/article27142513.ece
indianexpress.com,cities,"Gujarat tur dal scam: Minister says govt took swift action, slams Congress",16-05-2019,https://indianexpress.com/article/cities/ahmedabad/gujarat-tur-dal-scam-minister-says-govt-took-swift-action-slams-congress-5729983/
newindianexpress.com,states,Vigilance smells something fishy in Food Safety Dept,16-05-2019,http://www.newindianexpress.com/states/kerala/2019/may/16/vigilance-smells-something-fishy-in-food-safety-dept-1977413.html
indiatimes.com,city,Tamil Nadu: Two tonnes of Gutkha products seized in two shops in Trichy,17-05-2019,https://timesofindia.indiatimes.com/city/trichy/tamil-nadu-two-tonnes-of-gutkha-products-seized-in-two-shops-in-trichy/articleshow/69374792.cms
thehindu.com,cities,Crackdown on illegal priority ration card holders,18-05-2019,https://www.thehindu.com/news/cities/kozhikode/crackdown-on-illegal-priority-ration-card-holders/article27167118.ece
indiatimes.com,city,"Artificially ripened mangoes, papayas seized in Guwahati",18-05-2019,https://timesofindia.indiatimes.com/city/guwahati/artificially-ripened-mangoes-papayas-seized-in-guwahati/articleshow/69382871.cms
hindustantimes.com,delhi-news,"Food safety dept seizes over 1,000kg counterfeit ghee after raid on market",19-05-2019,https://www.hindustantimes.com/delhi-news/food-safety-dept-seizes-over-1-000kg-counterfeit-ghee-after-raid-on-market/story-JlBiCJyi7WFsnd5M5pzwGK.html
thehindu.com,cities,Two tonnes of gutkha and tobacco seized,17-05-2019,https://www.thehindu.com/news/cities/Tiruchirapalli/two-tonnes-of-gutkha-and-tobacco-seized/article27164473.ece
thehindu.com,cities,Mangoes ripened with chemicals seized,27-05-2019,https://www.thehindu.com/news/cities/Madurai/mangoes-ripened-with-chemicals-seized/article27265406.ece
indianexpress.com,india,Uttar Pradesh: Four of family among 12 dead after consuming liquor from licensed shop in Barabanki,29-05-2019,https://indianexpress.com/article/india/uttar-pradesh-four-of-family-among-12-dead-after-consuming-liquor-from-licensed-shop-in-barabanki-5753517/
hindustantimes.com,india-news,1 arrested after police encounter in Barabanki hooch case,29-05-2019,https://www.hindustantimes.com/india-news/1-arrested-after-police-encounter-in-barabanki-hooch-case/story-v5ys74iM9nis1gwxDLaIxM.html
thehindu.com,cities,"Come summer, quality of potable water comes under test",31-05-2019,https://www.thehindu.com/news/cities/Tiruchirapalli/come-summer-quality-of-potable-water-comes-under-test/article27361031.ece
hindustantimes.com,delhi-news,"5,700kg of spurious ghee recovered in Shahdara, Khanpur",31-05-2019,https://www.hindustantimes.com/delhi-news/5-700kg-of-spurious-ghee-recovered-in-shahdara-khanpur/story-TvarpSAisxAr3QCqj6pk6I.html
thehindu.com,cities,Artificially ripened mangoes seized,01-06-2019,https://www.thehindu.com/news/cities/puducherry/artificially-ripened-mangoes-seized/article27394937.ece
newindianexpress.com,cities,Food poisoning cases on the rise in Kochi; 4 in May; many go unreported,31-05-2019,http://www.newindianexpress.com/cities/kochi/2019/may/31/food-poisoning-cases-on-the-rise-in-kochi-4-in-may-many-go-unreported-1983980.html
indiatimes.com,city,Fruits still chemically ripened in Kerala,01-06-2019,https://timesofindia.indiatimes.com/city/kochi/fruits-still-chemically-ripened-in-kerala/articleshow/69610561.cms
indiatimes.com,city,"Police swoop down on spurious cosmetic, oil units",03-06-2019,https://timesofindia.indiatimes.com/city/varanasi/police-swoop-down-on-spurious-cosmetic-oil-units/articleshow/69625427.cms
newindianexpress.com,cities,Chennai: Man who tipped off cops assaulted by gutka sellers,04-06-2019,http://www.newindianexpress.com/cities/chennai/2019/jun/04/chennai-man-who-tipped-off-cops-assaulted-by-gutka-sellers-1985593.html
indiatimes.com,city,Concerns arise over quality of tanker water in Chennai,10-06-2019,https://timesofindia.indiatimes.com/city/chennai/concerns-arise-over-quality-of-tanker-water-in-chennai/articleshow/69718267.cms
newindianexpress.com,cities,Trawler ban puts fish lovers in catch-22 situation,11-06-2019,http://www.newindianexpress.com/cities/kochi/2019/jun/11/trawler-ban-puts-fish-lovers-in-catch-22-situation-1988576.html
thehindu.com,cities,Special award for Tirunelveli Collector,12-06-2019,https://www.thehindu.com/news/cities/Madurai/special-award-for-tirunelveli-collector/article27884946.ece
indiatimes.com,city,"Food safety registration, licence a must: Officials",16-06-2019,https://timesofindia.indiatimes.com/city/coimbatore/food-safety-registration-licence-a-must-officials/articleshow/69807386.cms
thehindu.com,cities,Crackdown on adulterated fish sale,19-06-2019,https://www.thehindu.com/news/cities/kozhikode/crackdown-on-adulterated-fish-sale/article28077608.ece
thehindu.com,cities,"Oppn. demands life term for food, juice adulterators",20-06-2019,https://www.thehindu.com/news/cities/mumbai/oppn-demands-life-term-for-food-juice-adulterators/article28079152.ece
thehindu.com,cities,"NIN, U.K. university to take up joint study on fungi poisoning",20-06-2019,https://www.thehindu.com/news/cities/Hyderabad/nin-uk-university-to-take-up-joint-study-on-fungi-poisoning/article28079108.ece
indiatimes.com,city,Political conspiracy in hooch deaths? CM Yogi wants to know,20-06-2019,https://timesofindia.indiatimes.com/city/lucknow/pol-conspiracy-in-hooch-deaths-cm-wants-to-know/articleshow/69866203.cms
indianexpress.com,india,"Fuljar Soda fad froths up across Kerala, from cool bars to social media handles",21-06-2019,https://indianexpress.com/article/india/fuljar-soda-fad-froths-up-across-kerala-from-cool-bars-to-social-media-handles-5793229/
newindianexpress.com,cities,The Killer Bait- The New Indian Express,23-06-2019,http://www.newindianexpress.com/cities/kochi/2019/jun/23/the--killer--bait-1994004.html
indiatimes.com,city,"Rajkot civic body busts fake mineral water bottling unit, complaint lodged",25-06-2019,https://timesofindia.indiatimes.com/city/rajkot/rmc-busts-fake-mineral-water-bottling-unit-complaint-lodged/articleshow/69932991.cms
indiatimes.com,city,"Nanded police, FDA officials seize gutka worth Rs 1 crore",25-06-2019,https://timesofindia.indiatimes.com/city/aurangabad/nanded-police-fda-officials-seize-gutka-worth-rs-1-crore/articleshow/69934208.cms
newindianexpress.com,states,Vigilance and Enforcement department raid shops in Guntur,29-06-2019,http://www.newindianexpress.com/states/andhra-pradesh/2019/jun/29/vigilance-and-enforcement-department-raid-shops-in-guntur-1996994.html
thehindu.com,national,Drive against sale of rotten fish,01-07-2019,https://www.thehindu.com/news/national/kerala/drive-against-sale-of-rotten-fish/article28254873.ece
thehindu.com,cities,Stale fish seized at Palayam market,09-07-2019,https://www.thehindu.com/news/cities/Thiruvananthapuram/stale-fish-seized-at-palayam-market/article28324545.ece
thehindu.com,national,School kids at risk from dirty kitchens,10-07-2019,https://www.thehindu.com/news/national/kerala/school-kids-at-risk-from-dirty-kitchens/article28359810.ece
newindianexpress.com,cities,Fishmongers in a soup,10-07-2019,http://www.newindianexpress.com/cities/thiruvananthapuram/2019/jul/10/fishmongers-in-a-soup-2001899.html
indiatimes.com,city,Tamil Nadu: Only 13% food adulterators convicted,11-07-2019,https://timesofindia.indiatimes.com/city/chennai/only-13-food-adulterators-convicted/articleshow/70165087.cms
thehindu.com,cities,46 restaurants served notice,12-07-2019,https://www.thehindu.com/news/cities/Thiruvananthapuram/46-restaurants-served-notice/article28392568.ece
newindianexpress.com,cities,"No stale fish sold here, say officials",11-07-2019,http://www.newindianexpress.com/cities/kochi/2019/jul/11/no-stale-fish-sold-here-say-officials-2002186.html
indiatimes.com,city,UP: Two held on charges of producing illicit liquor,14-07-2019,https://timesofindia.indiatimes.com/city/bareilly/up-two-held-on-charges-of-producing-illicit-liquor/articleshow/70214980.cms
indiatimes.com,city,"Two held on charges of making, selling hooch",15-07-2019,https://timesofindia.indiatimes.com/city/bareilly/two-held-on-charges-of-making-selling-hooch/articleshow/70219585.cms
thehindu.com,national,Tough measures to ensure food safety,17-07-2019,https://www.thehindu.com/news/national/kerala/tough-measures-to-ensure-food-safety/article28526328.ece
thehindu.com,cities,Two arrested for running milk adulteration racket,19-07-2019,https://www.thehindu.com/news/cities/mumbai/two-arrested-for-running-milk-adulteration-racket/article28566565.ece
indiatimes.com,city,MP police bust adulterated milk production racket; 57 arrested,19-07-2019,https://timesofindia.indiatimes.com/city/bhopal/mp-police-bust-adulterated-milk-production-racket-57-arrested/articleshow/70298218.cms
indiatimes.com,city,‘Chemical milk’ gang busted; Bhopal and Delhi were main markets,20-07-2019,https://timesofindia.indiatimes.com/city/bhopal/stf-busts-gang-that-made-milk-with-shampoo-paint-57-arrested/articleshow/70300329.cms
thehindu.com,cities,Food matters,22-07-2019,https://www.thehindu.com/news/cities/Thiruvananthapuram/food-matters/article28629293.ece
indiatimes.com,city,"MP govt to invoke NSA to curb adulteration in milk, dairy products",22-07-2019,https://timesofindia.indiatimes.com/city/bhopal/mp-govt-to-invoke-nsa-to-curb-adulteration-in-milk-dairy-products/articleshow/70332670.cms
thehindu.com,cities,M.P. government to invoke NSA against milk adulterators,24-07-2019,https://www.thehindu.com/news/cities/kolkata/mp-government-to-invoke-nsa-against-milk-adulterators/article28692847.ece
thehindu.com,cities,Food Safety officials shut down restaurant,25-07-2019,https://www.thehindu.com/news/cities/puducherry/food-safety-officials-shut-down-restaurant/article28705993.ece
hindustantimes.com,delhi-news,Vegetables in Delhi markets contain toxic metals: Study,26-07-2019,https://www.hindustantimes.com/delhi-news/vegetables-in-delhi-markets-contain-toxic-metals-study/story-L9d26TBm1lE6ttivb78jMO.html
thehindu.com,national,Almost 85% food adulteration cases pending in Madhya Pradesh’s Bhind district since 2011,27-07-2019,https://www.thehindu.com/news/national/other-states/almost-85-food-adulteration-cases-pending-in-madhya-pradeshs-bhind-district-since-2011/article28726689.ece
newindianexpress.com,cities,Five from Hyderabad ‘under scanner’ after contraband seized at Hyderabad Airport,26-07-2019,http://www.newindianexpress.com/cities/hyderabad/2019/jul/26/five-from-hyderabad-under-scanner-after-contraband-seized-at-hyderabad-airport-2009636.html
thehindu.com,cities,85% of food adulteration cases in Bhind pending since 2011,28-07-2019,https://www.thehindu.com/news/cities/Delhi/85-of-food-adulteration-cases-in-bhind-pending-since-2011/article28736205.ece
newindianexpress.com,cities,Heavy metal toxicity found in veggies grown in Yamuna floodplains: NGT-appointed panel report,28-07-2019,http://www.newindianexpress.com/cities/delhi/2019/jul/28/heavy-metal-toxicity-found-in-veggies-grown-in-yamuna-floodplains-ngt-appointed-panel-report-2010669.html
indiatimes.com,city,Street food hub to come up near Fort Kochi beach,29-07-2019,https://timesofindia.indiatimes.com/city/kochi/street-food-hub-to-come-up-near-fort-kochi-beach/articleshow/70430643.cms
indianexpress.com,cities,"Madhya Pradesh: Synthetic milk units busted, state to bring law to provide life term for adulteration",30-07-2019,https://indianexpress.com/article/cities/bhopal/madhya-pradesh-synthetic-milk-units-busted-mp-to-bring-law-to-provide-life-term-for-adulteration-5863695/
thehindu.com,national,August is ‘hygiene month’ for restaurants,30-07-2019,https://www.thehindu.com/news/national/kerala/august-is-hygiene-month-for-restaurants/article28761282.ece
newindianexpress.com,states,Gutkha scam: ED attaches assets worth Rs 246 under PMLA,30-07-2019,http://www.newindianexpress.com/states/tamil-nadu/2019/jul/30/gutkha-scam-ed-attaches-assets-worth-rs-246-under-pmla-2011299.html
newindianexpress.com,states,"Gutkha scam: ED attaches movable, immovable properties worth Rs 246 crore",29-07-2019,http://www.newindianexpress.com/states/tamil-nadu/2019/jul/29/gutkha-scam-ed-attaches-movable-immovable-properties-worth-rs-246-crore-2011232.html
indiatimes.com,city,"Toxins in your daily diet? Greens get a sewage wash, sprayed with pesticide",01-08-2019,https://timesofindia.indiatimes.com/city/bhopal/toxins-in-your-daily-diet-greens-get-a-sewage-wash-sprayed-with-pesticide/articleshow/70476520.cms
indiatimes.com,city,MP: Trader booked under NSA for making adulterated ghee in Ujjain,01-08-2019,https://timesofindia.indiatimes.com/city/indore/mp-trader-booked-under-nsa-for-making-adulterated-ghee-in-ujjain/articleshow/70485119.cms
indiatimes.com,city,"Rs 1 crore gutka smuggled from Bengaluru seized near Sriperumbudur, 4 held",04-08-2019,https://timesofindia.indiatimes.com/city/chennai/rs-1-cr-gutka-smuggled-from-bluru-seized-near-sriperumbudur-4-held/articleshow/70516945.cms
hindustantimes.com,india-news,"After synthetic milk, Madhya Pradesh busts adulterated spice racket",04-08-2019,https://www.hindustantimes.com/india-news/after-synthetic-milk-madhya-pradesh-busts-adulterated-spice-racket/story-eS6g8QF3mokDN3VbNF241O.html
thehindu.com,cities,Packaged drinking water units under the scanner,07-08-2019,https://www.thehindu.com/news/cities/Kochi/packaged-drinking-water-units-under-the-scanner/article28840160.ece
thehindu.com,national,‘Don’t pack toys and food together’,07-08-2019,https://www.thehindu.com/news/national/karnataka/dont-pack-toys-and-food-together/article28840507.ece
hindustantimes.com,cities,FSDA crackdown on artificially coloured vegetables,07-08-2019,https://www.hindustantimes.com/cities/fsda-crackdown-on-artificially-coloured-vegetables/story-BuzMMk6HBnF6SzYysCAcjJ.html
newindianexpress.com,cities,Madras High Court says police cannot probe charges under Food Safety Act,10-08-2019,http://www.newindianexpress.com/cities/chennai/2019/aug/10/madras-high-court-says-police-cannot-probe-charges-under-food-safety-act-2016611.html
hindustantimes.com,delhi-news,Food safety dept seize 1000 kg spurious khoya,12-08-2019,https://www.hindustantimes.com/delhi-news/food-safety-dept-seize-1000-kg-spurious-khoya/story-8mIdkOevy3GBe6xdpn8ZZL.html
indiatimes.com,city,Chennai collector warns of action against vendors who pack food in newspapers,14-08-2019,https://timesofindia.indiatimes.com/city/chennai/chennai-collector-warns-of-action-against-vendors-who-pack-food-in-newspapers/articleshow/70676760.cms
indiatimes.com,city,"Chennai: Action against shops selling food wrapped in plastic, newspaper",15-08-2019,https://timesofindia.indiatimes.com/city/chennai/chennai-action-against-shops-selling-food-wrapped-in-plastic-newspaper/articleshow/70684691.cms
hindustantimes.com,cities,FSDA finds anomalies at Amrit stores on KGMU campus,14-08-2019,https://www.hindustantimes.com/cities/fsda-finds-anomalies-at-amrit-stores-on-kgmu-campus/story-Yi6FxgOKY7xEfZQKhV9vkN.html
indiatimes.com,topic,"Gibraltar: Latest News, Videos and Photos of Gibraltar",16-08-2019,https://timesofindia.indiatimes.com/topic/Gibraltar
indiatimes.com,city,"Tamil Nadu: Ghee, butter as prasad in temples could be ‘inedible’",17-08-2019,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-ghee-butter-as-prasad-in-temples-could-be-inedible/articleshow/70709111.cms
thehindu.com,cities,Caution against sale of adulterated coconut oil,21-08-2019,https://www.thehindu.com/news/cities/kozhikode/caution-against-sale-of-adulterated-coconut-oil/article29212813.ece
indianexpress.com,cities,"Pune: 22 children, headmistress rushed to hospital after eating mid-day meal",22-08-2019,https://indianexpress.com/article/cities/pune/pune-22-children-headmistress-rushed-to-hospital-after-eating-mid-day-meal-5925451/
thehindu.com,national,10 arrested for adulterating diesel and petrol in Meerut,23-08-2019,https://www.thehindu.com/news/national/other-states/10-arrested-for-adulterating-diesel-and-petrol-in-meerut/article29226050.ece
thehindu.com,cities,Gutkha manufacturing unit unearthed in Prakasam,24-08-2019,https://www.thehindu.com/news/cities/Vijayawada/gutkha-manufacturing-unit-unearthed-in-prakasam/article29237060.ece
indiatimes.com,city,500 kg of paan masala seized from Gujarat Mail in Mumbai,22-08-2019,https://timesofindia.indiatimes.com/city/mumbai/500-kg-of-paan-masala-seized-from-gujarat-mail-in-mumbai/articleshow/70789015.cms
